regime,trace_index,trace_id,profile,model,intervals,events,nll_total,nll_per_interval
high_congestion,1,high_congestion-0001,robust,gru_param_matched,84,35,50.469989144069984,0.6008332040960712
high_congestion,1,high_congestion-0001,robust,constant,84,35,83.99518612013371,0.9999426919063537
high_congestion,2,high_congestion-0002,fast,cfc,97,40,60.6924891766215,0.6256957647074382
high_congestion,2,high_congestion-0002,fast,gru_dt,97,40,59.44886971649562,0.6128749455308827
high_congestion,2,high_congestion-0002,fast,lstm_dt,97,40,60.72297551688137,0.6260100568750656
high_congestion,2,high_congestion-0002,fast,mlp_dt,97,40,60.73972645181138,0.6261827469258905
high_congestion,2,high_congestion-0002,fast,gru_param_matched,97,40,58.73724294787705,0.605538587091516
high_congestion,2,high_congestion-0002,fast,constant,97,40,91.3662824328575,0.9419204374521392
high_congestion,3,high_congestion-0003,robust,cfc,83,37,49.11526647683256,0.5917501985160549
high_congestion,3,high_congestion-0003,robust,gru_dt,83,37,46.93148686631169,0.565439600798936
high_congestion,3,high_congestion-0003,robust,lstm_dt,83,37,48.10175313595044,0.5795391944090414
high_congestion,3,high_congestion-0003,robust,mlp_dt,83,37,49.977096960678,0.6021336983214216
high_congestion,3,high_congestion-0003,robust,gru_param_matched,83,37,47.57757826493508,0.5732238345172901
high_congestion,3,high_congestion-0003,robust,constant,83,37,77.23146034962568,0.9304995222846467
high_congestion,4,high_congestion-0004,fast,cfc,90,49,90.2365795784288,1.0026286619825422
high_congestion,4,high_congestion-0004,fast,gru_dt,90,49,87.33255867840487,0.9703617630933874
high_congestion,4,high_congestion-0004,fast,lstm_dt,90,49,84.53862711784905,0.9393180790872117
high_congestion,4,high_congestion-0004,fast,mlp_dt,90,49,87.77180070333262,0.975242230037029
high_congestion,4,high_congestion-0004,fast,gru_param_matched,90,49,88.53202197035671,0.9836891330039634
high_congestion,4,high_congestion-0004,fast,constant,90,49,117.58380573246353,1.306486730360706
high_congestion,5,high_congestion-0005,robust,cfc,92,25,58.18001558800345,0.6323914737826462
high_congestion,5,high_congestion-0005,robust,gru_dt,92,25,58.047107867768375,0.6309468246496562
high_congestion,5,high_congestion-0005,robust,lstm_dt,92,25,58.99542489133286,0.6412546183840528
high_congestion,5,high_congestion-0005,robust,mlp_dt,92,25,59.74195582281365,0.6493690850305832
high_congestion,5,high_congestion-0005,robust,gru_param_matched,92,25,56.12392669115451,0.6100426814255925
high_congestion,5,high_congestion-0005,robust,constant,92,25,96.2312271762553,1.0459915997419054
high_congestion,6,high_congestion-0006,fast,cfc,94,48,83.4000792033593,0.8872348851421202
high_congestion,6,high_congestion-0006,fast,gru_dt,94,48,81.15854872983346,0.863388816274824
high_congestion,6,high_congestion-0006,fast,lstm_dt,94,48,81.10079555442252,0.862774420791729
high_congestion,6,high_congestion-0006,fast,mlp_dt,94,48,83.4388412676191,0.8876472475278627
high_congestion,6,high_congestion-0006,fast,gru_param_matched,94,48,82.68023032632127,0.8795769183651199
high_congestion,6,high_congestion-0006,fast,constant,94,48,102.08090636930515,1.0859670890351611
high_congestion,7,high_congestion-0007,robust,cfc,85,26,58.74853705344495,0.6911592594522935
high_congestion,7,high_congestion-0007,robust,gru_dt,85,26,60.29192655498936,0.7093167829998748
high_congestion,7,high_congestion-0007,robust,lstm_dt,85,26,59.09678668722934,0.695256313967404
high_congestion,7,high_congestion-0007,robust,mlp_dt,85,26,62.900856407104015,0.7400100753776943
high_congestion,7,high_congestion-0007,robust,gru_param_matched,85,26,57.977305110250974,0.6820859424735408
high_congestion,7,high_congestion-0007,robust,constant,85,26,90.15154171704005,1.0606063731416475
high_congestion,8,high_congestion-0008,fast,cfc,89,47,55.90751421292529,0.6281743169991606
high_congestion,8,high_congestion-0008,fast,gru_dt,89,47,55.502252650108055,0.623620816293349
high_congestion,8,high_congestion-0008,fast,lstm_dt,89,47,57.87857324741656,0.6503210477237816
high_congestion,8,high_congestion-0008,fast,mlp_dt,89,47,62.87701927387663,0.7064833626278273
high_congestion,8,high_congestion-0008,fast,gru_param_matched,89,47,54.3911553399429,0.611136576853291
high_congestion,8,high_congestion-0008,fast,constant,89,47,78.47586518690784,0.8817512942349195
high_congestion,9,high_congestion-0009,robust,cfc,89,29,45.80196901418756,0.5146288653279502
high_congestion,9,high_congestion-0009,robust,gru_dt,89,29,45.317472677352185,0.5091850862623841
high_congestion,9,high_congestion-0009,robust,lstm_dt,89,29,46.83042021505,0.5261844967983146
high_congestion,9,high_congestion-0009,robust,mlp_dt,89,29,52.60685755574948,0.5910882871432526
high_congestion,9,high_congestion-0009,robust,gru_param_matched,89,29,44.080747569114536,0.4952892985293768
high_congestion,9,high_congestion-0009,robust,constant,89,29,77.3081301354579,0.8686306756793023
high_congestion,10,high_congestion-0010,fast,cfc,90,56,71.60695158039272,0.7956327953376968
high_congestion,10,high_congestion-0010,fast,gru_dt,90,56,69.87498545689849,0.7763887272988721
high_congestion,10,high_congestion-0010,fast,lstm_dt,90,56,70.55403972643333,0.7839337747381481
high_congestion,10,high_congestion-0010,fast,mlp_dt,90,56,77.05372339901092,0.8561524822112324
high_congestion,10,high_congestion-0010,fast,gru_param_matched,90,56,70.76763332491464,0.786307036943496
high_congestion,10,high_congestion-0010,fast,constant,90,56,91.21294336384851,1.0134771484872056
high_congestion,11,high_congestion-0011,robust,cfc,89,37,51.94320225440677,0.5836314860045705
high_congestion,11,high_congestion-0011,robust,gru_dt,89,37,50.90705168516481,0.5719893447771327
high_congestion,11,high_congestion-0011,robust,lstm_dt,89,37,51.5347847307106,0.579042525064164
high_congestion,11,high_congestion-0011,robust,mlp_dt,89,37,53.403073336423454,0.6000345318699264
high_congestion,11,high_congestion-0011,robust,gru_param_matched,89,37,50.55565432993074,0.5680410598868623
high_congestion,11,high_congestion-0011,robust,constant,89,37,71.83581402884039,0.8071439778521392
high_congestion,12,high_congestion-0012,fast,cfc,85,51,73.79348287323003,0.8681586220380004
high_congestion,12,high_congestion-0012,fast,gru_dt,85,51,74.46591448573497,0.8760695821851173
high_congestion,12,high_congestion-0012,fast,lstm_dt,85,51,72.80094252273179,0.856481676738021
high_congestion,12,high_congestion-0012,fast,mlp_dt,85,51,77.70008279976813,0.9141186211737427
high_congestion,12,high_congestion-0012,fast,gru_param_matched,85,51,74.2863232746063,0.873956744407133
high_congestion,12,high_congestion-0012,fast,constant,85,51,105.42443384223239,1.2402874569674398
high_congestion,13,high_congestion-0013,robust,cfc,90,37,60.61643891162781,0.6735159879069756
